Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
ascr_50_r1	29146485.0	0.0	29146485.0	1.0	29146485.0	0.0	29146485.0	0.0	0.0	0.0	0.0	23460889.0	48745.0	0.0	0.0	1443955847.0	1443955847.0	0.0	1443955847.0	1440220704.0	0.0	1162271970.0	1661437.0	0.001153599	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	80.49303029164581	0.16724143580263623	0.0
ascr_50_r2	28873840.0	0.0	28873840.0	1.0	28873840.0	0.0	28873840.0	0.0	0.0	0.0	0.0	23233659.0	56964.0	0.0	0.0	1430461403.0	1430461403.0	0.0	1430461403.0	1426966483.0	0.0	1151033774.0	1645765.0	0.001153331	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	80.46612089005134	0.19728584767388058	0.0
ascr_50_r3	30976484.0	0.0	30976484.0	1.0	30976484.0	0.0	30976484.0	0.0	0.0	0.0	0.0	25164043.0	49453.0	0.0	0.0	1534648292.0	1534648292.0	0.0	1534648292.0	1530898652.0	0.0	1246677201.0	1742797.0	0.001138414	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	81.23595628219135	0.15964691150874322	0.0
ascr_58_r1	33837730.0	0.0	33837730.0	1.0	33837730.0	0.0	33837730.0	0.0	0.0	0.0	0.0	28056057.0	55541.0	0.0	0.0	1676193861.0	1676193861.0	0.0	1676193861.0	1672211091.0	0.0	1389752477.0	1920232.0	0.001148319	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.91353172922652	0.1641392611147379	0.0
ascr_58_r2	27391219.0	0.0	27391219.0	1.0	27391219.0	0.0	27391219.0	0.0	0.0	0.0	0.0	22158371.0	40527.0	0.0	0.0	1356903871.0	1356903871.0	0.0	1356903871.0	1353758533.0	0.0	1097652228.0	1525476.0	0.001126845	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	80.89589222005782	0.1479561752983684	0.0
ascr_58_r3	27581618.0	0.0	27581618.0	1.0	27581618.0	0.0	27581618.0	0.0	0.0	0.0	0.0	22287631.0	41687.0	0.0	0.0	1366277989.0	1366277989.0	0.0	1366277989.0	1362995720.0	0.0	1104007900.0	1559299.0	0.001144023	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	80.80610426842979	0.15114051684712623	0.0
control_50_r1	27647167.0	0.0	27647167.0	1.0	27647167.0	0.0	27647167.0	0.0	0.0	0.0	0.0	21902370.0	44227.0	0.0	0.0	1369681690.0	1369681690.0	0.0	1369681690.0	1366295016.0	0.0	1085059595.0	1568583.0	0.001148056	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	79.2210283245296	0.15996937407727888	0.0
control_50_r2	33639845.0	0.0	33639845.0	1.0	33639845.0	0.0	33639845.0	0.0	0.0	0.0	0.0	27451866.0	54030.0	0.0	0.0	1666609055.0	1666609055.0	0.0	1666609055.0	1662304651.0	0.0	1360025790.0	1948665.0	0.001172267	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	81.60520953648866	0.16061310627323047	0.0
control_50_r3	26364423.0	0.0	26364423.0	1.0	26364423.0	0.0	26364423.0	0.0	0.0	0.0	0.0	20800783.0	40845.0	0.0	0.0	1306126898.0	1306126898.0	0.0	1306126898.0	1302750924.0	0.0	1030484491.0	1515849.0	0.001163575	49.0	50.0	0.0	50.0	50.0	0.0	39.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	78.8971675958924	0.15492468771268006	0.0
control_58_r1	29148992.0	0.0	29148992.0	1.0	29148992.0	0.0	29148992.0	0.0	0.0	0.0	0.0	23640768.0	44536.0	0.0	0.0	1443956649.0	1443956649.0	0.0	1443956649.0	1440422494.0	0.0	1171067694.0	1649818.0	0.001145371	49.0	50.0	0.0	50.0	50.0	0.0	39.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	81.10320933224725	0.15278744458813534	0.0
